file_date,date,package,n_unique,n_total
2021-11-03,2021-11-03,A3,53,81
2021-11-03,2021-11-03,aaMI,3,3
2021-11-03,2021-11-03,aaSEA,36,53
2021-11-03,2021-11-03,AATtools,26,43
2021-11-03,2021-11-03,ABACUS,31,47
2021-11-03,2021-11-03,abbyyR,41,56
2021-11-03,2021-11-03,abc,60,128
2021-11-03,2021-11-03,abc.data,49,115
2021-11-03,2021-11-03,ABC.RAP,32,48
2021-11-03,2021-11-03,abcADM,28,44
2021-11-03,2021-11-03,ABCanalysis,37,53
2021-11-03,2021-11-03,abcdeFBA,29,44
2021-11-03,2021-11-03,ABCExtremes,2,2
2021-11-03,2021-11-03,ABCoptim,33,51
2021-11-03,2021-11-03,ABCp2,29,45
2021-11-03,2021-11-03,abcrf,36,53
2021-11-03,2021-11-03,abcrlda,27,42
2021-11-03,2021-11-03,abctools,38,52
2021-11-03,2021-11-03,abd,130,189
2021-11-03,2021-11-03,abdiv,28,44
2021-11-03,2021-11-03,abe,29,45
2021-11-03,2021-11-03,abemus,2,2
2021-11-03,2021-11-03,abess,28,44
2021-11-03,2021-11-03,abf2,27,42
2021-11-03,2021-11-03,abglasso,24,40
2021-11-03,2021-11-03,ABHgenotypeR,29,46
2021-11-03,2021-11-03,abind,9993,15411
2021-11-03,2021-11-03,aBioMarVsuit,1,1
2021-11-03,2021-11-03,abjutils,36,52
2021-11-03,2021-11-03,abmR,23,38
2021-11-03,2021-11-03,abn,47,63
2021-11-03,2021-11-03,abnormality,25,41
2021-11-03,2021-11-03,abodOutlier,25,40
2021-11-03,2021-11-03,ABPS,30,45
2021-11-03,2021-11-03,AbsFilterGSEA,7,7
2021-11-03,2021-11-03,AbSim,7,7
2021-11-03,2021-11-03,abstr,27,43
2021-11-03,2021-11-03,abstractr,30,46
2021-11-03,2021-11-03,abtest,43,62
2021-11-03,2021-11-03,abundant,4,4
2021-11-03,2021-11-03,Ac3net,24,40
2021-11-03,2021-11-03,ACA,27,44
2021-11-03,2021-11-03,academictwitteR,35,52
2021-11-03,2021-11-03,acc,35,50
2021-11-03,2021-11-03,accelerometry,46,63
2021-11-03,2021-11-03,accelmissing,33,49
2021-11-03,2021-11-03,accept,30,45
2021-11-03,2021-11-03,AcceptanceSampling,45,66
2021-11-03,2021-11-03,ACCLMA,1,1
2021-11-03,2021-11-03,accrual,34,49
2021-11-03,2021-11-03,accrued,12,12
2021-11-03,2021-11-03,accSDA,22,38
2021-11-03,2021-11-03,accucor,26,42
2021-11-03,2021-11-03,accuracy,27,27
2021-11-03,2021-11-03,ACD,25,41
2021-11-03,2021-11-03,ACDm,30,46
2021-11-03,2021-11-03,Ace,1,1
2021-11-03,2021-11-03,ace2fastq,25,41
2021-11-03,2021-11-03,acebayes,38,54
2021-11-03,2021-11-03,aceEditor,24,40
2021-11-03,2021-11-03,acepack,271,420
2021-11-03,2021-11-03,acer,3,3
2021-11-03,2021-11-03,ACEsearch,22,38
2021-11-03,2021-11-03,ACEt,34,50
